top	sub
astro-ph/0406039	astro-ph/0504650
astro-ph/0402503	astro-ph/0504650
astro-ph/0012539	astro-ph/0504650
astro-ph/0302209	astro-ph/0504650
astro-ph/0404378	astro-ph/0504650
astro-ph/0311364	astro-ph/0504650
astro-ph/0006436	astro-ph/0504650
astro-ph/9604166	astro-ph/0504650
astro-ph/0210468	astro-ph/0504650
astro-ph/0310882	astro-ph/0504650
astro-ph/0309205	astro-ph/0504650
astro-ph/0402512	astro-ph/0504650
astro-ph/0406608	astro-ph/0504650
astro-ph/9812133	astro-ph/0504650
astro-ph/0306483	astro-ph/0504650
astro-ph/0210696	astro-ph/0504650
astro-ph/0307227	astro-ph/0504650
astro-ph/0507263	astro-ph/0504416
astro-ph/0307249	astro-ph/0504416
astro-ph/0305089	astro-ph/0504416
astro-ph/0507184	astro-ph/0504416
astro-ph/0107571	astro-ph/0504416
astro-ph/0209312	astro-ph/0504416
astro-ph/0510364	astro-ph/0504416
astro-ph/0511029	astro-ph/0504416
astro-ph/0405232	astro-ph/0504416
astro-ph/9805117	astro-ph/0504416
astro-ph/0503335	astro-ph/0504452
astro-ph/0503348	astro-ph/0504452
astro-ph/0503279	astro-ph/0504452
astro-ph/0410489	astro-ph/0504164
astro-ph/0503055	astro-ph/0504164
astro-ph/0503188	astro-ph/0504164
astro-ph/0101014	astro-ph/0504571
astro-ph/0401504	astro-ph/0504571
astro-ph/0408464	astro-ph/0504571
astro-ph/9711102	astro-ph/0504571
astro-ph/0307350	astro-ph/0504571
astro-ph/0207347	astro-ph/0504571
astro-ph/0311175	astro-ph/0504571
astro-ph/0308149	astro-ph/0504571
astro-ph/0302209	astro-ph/0504571
astro-ph/0303145	astro-ph/0504571
astro-ph/0307316	astro-ph/0504571
astro-ph/0407239	astro-ph/0504571
astro-ph/9911177	astro-ph/0504571
astro-ph/0211602	astro-ph/0504571
astro-ph/0503349	astro-ph/0504571
astro-ph/9908023	astro-ph/0504571
astro-ph/0205545	astro-ph/0504571
astro-ph/0503242	astro-ph/0504571
astro-ph/0409163	astro-ph/0504571
astro-ph/0205097	astro-ph/0504571
astro-ph/0407196	astro-ph/0504571
astro-ph/0111535	astro-ph/0504571
astro-ph/0203018	astro-ph/0504571
astro-ph/0402512	astro-ph/0504571
astro-ph/0007199	astro-ph/0504571
astro-ph/0411703	astro-ph/0504571
astro-ph/0104464	astro-ph/0504571
astro-ph/0107573	astro-ph/0504571
astro-ph/0409481	astro-ph/0504571
astro-ph/0403579	astro-ph/0504226
astro-ph/0303614	astro-ph/0504226
astro-ph/0502300	astro-ph/0504254
astro-ph/0201519	astro-ph/0504400
astro-ph/0408272	astro-ph/0504631
astro-ph/0405414	astro-ph/0504631
astro-ph/0501555	astro-ph/0504631
astro-ph/0501152	astro-ph/0504005
astro-ph/0502220	astro-ph/0504005
astro-ph/0503582	astro-ph/0504005
astro-ph/0407259	astro-ph/0504005
astro-ph/0502556	astro-ph/0504005
astro-ph/0311364	astro-ph/0504005
astro-ph/0404468	astro-ph/0504005
astro-ph/0503715	astro-ph/0504005
astro-ph/0111462	astro-ph/0504005
astro-ph/0403687	astro-ph/0504005
astro-ph/0209584	astro-ph/0504005
astro-ph/0503553	astro-ph/0504005
astro-ph/0402512	astro-ph/0504005
astro-ph/0203383	astro-ph/0504005
astro-ph/0410541	astro-ph/0504005
astro-ph/0311257	astro-ph/0504005
astro-ph/0012376	astro-ph/0504005
astro-ph/0406608	astro-ph/0504005
astro-ph/9911235	astro-ph/0504005
astro-ph/0406672	astro-ph/0504005
astro-ph/0304237	astro-ph/0504005
astro-ph/0407317	astro-ph/0504005
astro-ph/9802323	astro-ph/0504005
astro-ph/0407364	astro-ph/0504005
astro-ph/0306213	astro-ph/0504152
astro-ph/0502394	astro-ph/0504152
astro-ph/0410551	astro-ph/0504152
astro-ph/0304183	astro-ph/0504241
astro-ph/0406204	astro-ph/0504241
astro-ph/0407575	astro-ph/0504241
astro-ph/0307185	astro-ph/0504241
astro-ph/0408346	astro-ph/0504241
astro-ph/0106200	astro-ph/0504241
astro-ph/0603451	astro-ph/0504022
astro-ph/0611917	astro-ph/0504022
astro-ph/0607496	astro-ph/0504022
astro-ph/0603450	astro-ph/0504022
astro-ph/0608116	astro-ph/0504022
astro-ph/0603449	astro-ph/0504022
astro-ph/0703063	astro-ph/0504022
astro-ph/0502185	astro-ph/0504125
astro-ph/0504624	astro-ph/0504125
astro-ph/0501559	astro-ph/0504125
astro-ph/0501101	astro-ph/0504188
astro-ph/0502354	astro-ph/0504188
astro-ph/0501240	astro-ph/0504188
astro-ph/0502363	astro-ph/0504536
astro-ph/0304252	astro-ph/0504536
astro-ph/0410319	astro-ph/0504536
astro-ph/0310532	astro-ph/0504364
astro-ph/0406447	astro-ph/0504364
astro-ph/0307350	astro-ph/0504121
astro-ph/0410543	astro-ph/0504121
astro-ph/9711288	astro-ph/0504121
astro-ph/0303123	astro-ph/0504088
astro-ph/0401532	astro-ph/0504034
astro-ph/0406514	astro-ph/0504034
astro-ph/0406621	astro-ph/0504034
astro-ph/0403181	astro-ph/0504034
astro-ph/0502577	astro-ph/0504077
astro-ph/0403657	astro-ph/0504075
astro-ph/0411207	astro-ph/0504075
astro-ph/0508050	astro-ph/0504075
astro-ph/0201408	astro-ph/0504390
astro-ph/0411040	astro-ph/0504390
astro-ph/0406001	astro-ph/0504390
astro-ph/0405386	astro-ph/0504480
astro-ph/0411763	astro-ph/0504480
astro-ph/0408310	astro-ph/0504480
astro-ph/0302101	astro-ph/0504600
astro-ph/0405055	astro-ph/0504600
astro-ph/0403694	astro-ph/0504634
astro-ph/0207231	astro-ph/0504634
astro-ph/0204521	astro-ph/0504634
astro-ph/0506281	astro-ph/0504634
astro-ph/0412091	astro-ph/0504072
astro-ph/0503420	astro-ph/0504072
astro-ph/0310723	astro-ph/0504290
astro-ph/0504294	astro-ph/0504290
astro-ph/0309368	astro-ph/0504290
astro-ph/0407372	astro-ph/0504290
astro-ph/0404062	astro-ph/0504290
astro-ph/0112408	astro-ph/0504290
astro-ph/0306305	astro-ph/0504290
astro-ph/0408569	astro-ph/0504290
astro-ph/0302225	astro-ph/0504290
astro-ph/0506422	astro-ph/0504290
astro-ph/0503118	astro-ph/0504290
astro-ph/0202286	astro-ph/0504290
astro-ph/0407022	astro-ph/0504290
astro-ph/0204068	astro-ph/0504290
astro-ph/0403292	astro-ph/0504290
astro-ph/0504115	astro-ph/0504290
astro-ph/0409059	astro-ph/0504290
astro-ph/0307335	astro-ph/0504290
astro-ph/0501152	astro-ph/0504421
astro-ph/0504005	astro-ph/0504421
astro-ph/0503582	astro-ph/0504421
astro-ph/0503553	astro-ph/0504421
astro-ph/0410541	astro-ph/0504421
astro-ph/0503715	astro-ph/0504421
astro-ph/0501269	astro-ph/0504162
astro-ph/0503457	astro-ph/0504162
astro-ph/0504123	astro-ph/0504162
astro-ph/0412105	astro-ph/0504165
astro-ph/0312347	astro-ph/0504165
astro-ph/0311089	astro-ph/0504558
astro-ph/0406468	astro-ph/0504551
astro-ph/0501063	astro-ph/0504551
astro-ph/0501081	astro-ph/0504551
astro-ph/0506740	astro-ph/0504551
astro-ph/0504510	astro-ph/0504551
astro-ph/0006421	astro-ph/0504090
astro-ph/0407432	astro-ph/0504090
astro-ph/0105518	astro-ph/0504090
astro-ph/0104006	astro-ph/0504090
astro-ph/0201127	astro-ph/0504090
astro-ph/0309800	astro-ph/0504090
astro-ph/0412010	astro-ph/0504090
astro-ph/9806099	astro-ph/0504090
astro-ph/0002360	astro-ph/0504090
astro-ph/0111417	astro-ph/0504090
astro-ph/9908085	astro-ph/0504090
astro-ph/0503387	astro-ph/0504112
astro-ph/0501171	astro-ph/0504112
astro-ph/0412170	astro-ph/0504112
astro-ph/0407143	astro-ph/0504427
astro-ph/0403714	astro-ph/0504535
astro-ph/0504300	astro-ph/0504535
astro-ph/0406036	astro-ph/0504535
astro-ph/0405445	astro-ph/0504334
astro-ph/0412306	astro-ph/0504334
astro-ph/0410173	astro-ph/0504334
astro-ph/0501227	astro-ph/0504334
astro-ph/0501652	astro-ph/0504518
astro-ph/0411044	astro-ph/0504518
astro-ph/0407432	astro-ph/0504518
astro-ph/0411501	astro-ph/0504518
astro-ph/0411803	astro-ph/0504518
astro-ph/0504017	astro-ph/0504518
astro-ph/0503230	astro-ph/0504518
astro-ph/0407572	astro-ph/0504518
astro-ph/0501104	astro-ph/0504518
astro-ph/0203330	astro-ph/0504518
astro-ph/0409596	astro-ph/0504518
astro-ph/0307335	astro-ph/0504518
astro-ph/0503495	astro-ph/0504518
astro-ph/0405518	astro-ph/0504518
astro-ph/0305089	astro-ph/0504478
astro-ph/0412615	astro-ph/0504478
astro-ph/0403384	astro-ph/0504478
astro-ph/0504200	astro-ph/0504478
astro-ph/0406210	astro-ph/0504517
astro-ph/0405386	astro-ph/0504517
astro-ph/0412145	astro-ph/0504517
astro-ph/0502553	astro-ph/0504517
astro-ph/0301006	astro-ph/0504517
astro-ph/0503254	astro-ph/0504517
astro-ph/0408453	astro-ph/0504517
astro-ph/0503532	astro-ph/0504308
astro-ph/0504056	astro-ph/0504308
astro-ph/0502428	astro-ph/0504308
astro-ph/0502577	astro-ph/0504308
astro-ph/0502148	astro-ph/0504308
astro-ph/0412277	astro-ph/0504294
astro-ph/0503118	astro-ph/0504294
astro-ph/0407372	astro-ph/0504419
astro-ph/0505138	astro-ph/0504419
astro-ph/0407378	astro-ph/0504419
astro-ph/0504641	astro-ph/0504419
astro-ph/0401101	astro-ph/0504248
astro-ph/0410684	astro-ph/0504248
astro-ph/0306213	astro-ph/0504126
astro-ph/0407612	astro-ph/0504126
astro-ph/0407025	astro-ph/0504126
astro-ph/0406334	astro-ph/0504126
astro-ph/0303339	astro-ph/0504126
astro-ph/0410551	astro-ph/0504126
astro-ph/0407143	astro-ph/0504081
astro-ph/0502300	astro-ph/0504359
astro-ph/0502553	astro-ph/0504359
astro-ph/0412400	astro-ph/0504123
astro-ph/0506569	astro-ph/0504123
astro-ph/0102476	astro-ph/0504358
astro-ph/0502550	astro-ph/0504358
astro-ph/0402487	astro-ph/0504358
astro-ph/0111305	astro-ph/0504358
astro-ph/0208301	astro-ph/0504358
astro-ph/0310232	astro-ph/0504358
astro-ph/0206414	astro-ph/0504358
astro-ph/0010652	astro-ph/0504358
astro-ph/0309656	astro-ph/0504358
astro-ph/0412554	astro-ph/0504358
astro-ph/0301497	astro-ph/0504358
astro-ph/0402092	astro-ph/0504358
astro-ph/0411060	astro-ph/0504358
astro-ph/0305196	astro-ph/0504358
astro-ph/0312475	astro-ph/0504358
astro-ph/0402356	astro-ph/0504358
astro-ph/9811225	astro-ph/0504358
astro-ph/0412591	astro-ph/0504358
astro-ph/0411421	astro-ph/0504358
astro-ph/0410514	astro-ph/0504358
astro-ph/0406654	astro-ph/0504358
astro-ph/0502418	astro-ph/0504358
astro-ph/0402445	astro-ph/0504384
astro-ph/0102381	astro-ph/0504384
astro-ph/0207056	astro-ph/0504384
astro-ph/0408323	astro-ph/0504384
astro-ph/0407095	astro-ph/0504172
astro-ph/0502419	astro-ph/0504189
astro-ph/0503166	astro-ph/0504189
astro-ph/0503427	astro-ph/0504576
astro-ph/0312206	astro-ph/0504576
astro-ph/0207423	astro-ph/0504576
astro-ph/0404540	astro-ph/0504576
astro-ph/0210603	astro-ph/0504508
astro-ph/0306620	astro-ph/0504508
astro-ph/0511041	astro-ph/0504508
astro-ph/0411220	astro-ph/0504508
astro-ph/0502578	astro-ph/0504508
astro-ph/0504045	astro-ph/0504508
astro-ph/0509719	astro-ph/0504508
astro-ph/0307055	astro-ph/0504508
astro-ph/0410486	astro-ph/0504508
astro-ph/0411463	astro-ph/0504508
astro-ph/0506704	astro-ph/0504508
astro-ph/0411394	astro-ph/0504508
astro-ph/0305123	astro-ph/0504508
astro-ph/0212141	astro-ph/0504508
astro-ph/0406398	astro-ph/0504508
astro-ph/0503692	astro-ph/0504508
astro-ph/0107378	astro-ph/0504017
astro-ph/0503680	astro-ph/0504017
astro-ph/0311613	astro-ph/0504017
astro-ph/0411803	astro-ph/0504017
astro-ph/0110472	astro-ph/0504017
astro-ph/9603033	astro-ph/0504017
astro-ph/9806362	astro-ph/0504017
astro-ph/9906066	astro-ph/0504017
astro-ph/0407259	astro-ph/0504017
astro-ph/9912463	astro-ph/0504017
astro-ph/9901388	astro-ph/0504017
astro-ph/0205096	astro-ph/0504017
astro-ph/0404378	astro-ph/0504017
astro-ph/0307104	astro-ph/0504017
astro-ph/0310723	astro-ph/0504017
astro-ph/0308446	astro-ph/0504017
astro-ph/0302218	astro-ph/0504017
astro-ph/0302505	astro-ph/0504017
astro-ph/0205544	astro-ph/0504017
astro-ph/0311622	astro-ph/0504017
astro-ph/0006373	astro-ph/0504017
astro-ph/0302207	astro-ph/0504017
astro-ph/9910214	astro-ph/0504017
astro-ph/0403292	astro-ph/0504017
astro-ph/0310725	astro-ph/0504017
astro-ph/0407107	astro-ph/0504017
astro-ph/0406672	astro-ph/0504017
astro-ph/9812313	astro-ph/0504017
astro-ph/0108090	astro-ph/0504017
astro-ph/0402208	astro-ph/0504017
astro-ph/0404062	astro-ph/0504017
astro-ph/0301510	astro-ph/0504017
astro-ph/0302213	astro-ph/0504017
astro-ph/0401556	astro-ph/0504017
astro-ph/0404224	astro-ph/0504017
astro-ph/0401504	astro-ph/0504017
astro-ph/0310904	astro-ph/0504017
astro-ph/0402316	astro-ph/0504017
astro-ph/0302209	astro-ph/0504017
astro-ph/0405353	astro-ph/0504017
astro-ph/0312579	astro-ph/0504017
astro-ph/0302506	astro-ph/0504017
astro-ph/0404468	astro-ph/0504017
astro-ph/0309746	astro-ph/0504017
astro-ph/9908023	astro-ph/0504017
astro-ph/9706198	astro-ph/0504017
astro-ph/0301273	astro-ph/0504017
astro-ph/0406496	astro-ph/0504017
astro-ph/9801234	astro-ph/0504017
astro-ph/0003046	astro-ph/0504017
astro-ph/0211522	astro-ph/0504017
astro-ph/0206409	astro-ph/0504017
astro-ph/0406608	astro-ph/0504017
astro-ph/9812133	astro-ph/0504017
astro-ph/0105068	astro-ph/0504017
astro-ph/0307100	astro-ph/0504017
astro-ph/0403157	astro-ph/0504017
astro-ph/0109097	astro-ph/0504017
astro-ph/0301273	astro-ph/0504560
astro-ph/0404224	astro-ph/0504560
astro-ph/0403687	astro-ph/0504560
astro-ph/0006373	astro-ph/0504560
astro-ph/0407190	astro-ph/0504560
astro-ph/9912463	astro-ph/0504560
astro-ph/0501104	astro-ph/0504560
astro-ph/0407107	astro-ph/0504560
astro-ph/0311364	astro-ph/0504560
astro-ph/0410680	astro-ph/0504560
astro-ph/0302506	astro-ph/0504560
astro-ph/0401231	astro-ph/0504560
astro-ph/0202049	astro-ph/0504422
astro-ph/0503006	astro-ph/0504422
astro-ph/9804050	astro-ph/0504422
astro-ph/0503387	astro-ph/0504422
astro-ph/0409403	astro-ph/0504422
astro-ph/0402588	astro-ph/0504422
astro-ph/0306207	astro-ph/0504422
astro-ph/0208458	astro-ph/0504422
astro-ph/0301505	astro-ph/0504422
astro-ph/9808243	astro-ph/0504422
astro-ph/0410359	astro-ph/0504422
astro-ph/0301551	astro-ph/0504422
astro-ph/0309464	astro-ph/0504422
astro-ph/0012346	astro-ph/0504422
astro-ph/0309115	astro-ph/0504422
astro-ph/0206271	astro-ph/0504422
astro-ph/0305542	astro-ph/0504422
astro-ph/0101134	astro-ph/0504422
astro-ph/0305075	astro-ph/0504422
astro-ph/0205391	astro-ph/0504422
astro-ph/0302209	astro-ph/0504422
astro-ph/9902012	astro-ph/0504422
astro-ph/0206040	astro-ph/0504422
astro-ph/0105048	astro-ph/0504422
astro-ph/0405414	astro-ph/0504422
astro-ph/0207125	astro-ph/0504422
astro-ph/0109318	astro-ph/0504422
astro-ph/0403322	astro-ph/0504422
astro-ph/0504112	astro-ph/0504422
astro-ph/0209379	astro-ph/0504031
astro-ph/0402265	astro-ph/0504031
astro-ph/0404201	astro-ph/0504031
astro-ph/9902298	astro-ph/0504031
astro-ph/0301226	astro-ph/0504031
astro-ph/0202492	astro-ph/0504031
astro-ph/0207321	astro-ph/0504031
astro-ph/0402512	astro-ph/0504031
astro-ph/0210476	astro-ph/0504031
astro-ph/0308465	astro-ph/0504031
astro-ph/0501256	astro-ph/0504581
astro-ph/0407095	astro-ph/0504581
astro-ph/0410173	astro-ph/0504233
astro-ph/0510195	astro-ph/0504519
astro-ph/0506043	astro-ph/0504519
astro-ph/0503363	astro-ph/0504519
astro-ph/0312206	astro-ph/0504519
astro-ph/0409481	astro-ph/0504519
astro-ph/0503349	astro-ph/0504519
astro-ph/0601517	astro-ph/0504519
astro-ph/0404534	astro-ph/0504498
astro-ph/0303339	astro-ph/0504498
astro-ph/9805025	astro-ph/0504498
astro-ph/0409226	astro-ph/0504498
astro-ph/0504300	astro-ph/0504253
astro-ph/0503009	astro-ph/0504253
astro-ph/0502542	astro-ph/0504253
astro-ph/0504252	astro-ph/0504253
astro-ph/0505010	astro-ph/0504253
astro-ph/0504190	astro-ph/0504253
astro-ph/0405584	astro-ph/0504645
astro-ph/0407372	astro-ph/0504645
astro-ph/0504641	astro-ph/0504645
astro-ph/0601168	astro-ph/0504130
astro-ph/0412652	astro-ph/0504130
astro-ph/0701848	astro-ph/0504130
astro-ph/0509532	astro-ph/0504130
astro-ph/0412557	astro-ph/0504391
astro-ph/0205387	astro-ph/0504391
astro-ph/0506304	astro-ph/0504045
astro-ph/0506704	astro-ph/0504045
astro-ph/0507608	astro-ph/0504045
astro-ph/0506532	astro-ph/0504045
astro-ph/0504046	astro-ph/0504045
astro-ph/0506056	astro-ph/0504045
astro-ph/0405507	astro-ph/0504214
astro-ph/0305522	astro-ph/0504214
astro-ph/0507515	astro-ph/0504052
astro-ph/0507362	astro-ph/0504052
astro-ph/0502373	astro-ph/0504052
astro-ph/0504125	astro-ph/0504052
astro-ph/0507192	astro-ph/0504052
astro-ph/0504404	astro-ph/0504052
astro-ph/0409128	astro-ph/0504052
astro-ph/0501458	astro-ph/0504052
astro-ph/0204357	astro-ph/0504401
astro-ph/0411173	astro-ph/0504401
astro-ph/0412578	astro-ph/0504401
astro-ph/0210095	astro-ph/0504401
astro-ph/9906463	astro-ph/0504501
astro-ph/0302209	astro-ph/0504501
astro-ph/0501171	astro-ph/0504501
astro-ph/0408033	astro-ph/0504501
astro-ph/0503023	astro-ph/0504501
astro-ph/0503065	astro-ph/0504501
astro-ph/0305038	astro-ph/0504501
astro-ph/0101292	astro-ph/0504501
astro-ph/9812133	astro-ph/0504501
astro-ph/0501174	astro-ph/0504501
astro-ph/0110225	astro-ph/0504501
astro-ph/0401512	astro-ph/0504215
astro-ph/0412169	astro-ph/0504215
astro-ph/0205122	astro-ph/0504020
astro-ph/0502428	astro-ph/0504020
astro-ph/0502577	astro-ph/0504020
astro-ph/0406133	astro-ph/0504020
astro-ph/0503251	astro-ph/0504020
astro-ph/0502417	astro-ph/0504020
astro-ph/0306213	astro-ph/0504129
astro-ph/0411313	astro-ph/0504129
astro-ph/0303339	astro-ph/0504129
astro-ph/0410551	astro-ph/0504129
astro-ph/0305286	astro-ph/0504200
astro-ph/0012510	astro-ph/0504200
astro-ph/0304417	astro-ph/0504200
astro-ph/0205205	astro-ph/0504200
astro-ph/0305008	astro-ph/0504200
astro-ph/0207047	astro-ph/0504200
astro-ph/0302209	astro-ph/0504200
astro-ph/0307185	astro-ph/0504200
astro-ph/0210091	astro-ph/0504200
astro-ph/0205387	astro-ph/0504200
astro-ph/0308007	astro-ph/0504200
astro-ph/0304419	astro-ph/0504200
astro-ph/0304418	astro-ph/0504200
astro-ph/9901122	astro-ph/0504200
astro-ph/0106399	astro-ph/0504200
astro-ph/0003338	astro-ph/0504200
astro-ph/0210007	astro-ph/0504200
astro-ph/9912508	astro-ph/0504200
astro-ph/9812172	astro-ph/0504200
astro-ph/9812133	astro-ph/0504200
astro-ph/0301087	astro-ph/0504200
astro-ph/0407095	astro-ph/0504032
astro-ph/0408569	astro-ph/0504477
astro-ph/0502466	astro-ph/0504477
astro-ph/0408564	astro-ph/0504477
astro-ph/0504052	astro-ph/0504245
astro-ph/0503630	astro-ph/0504245
astro-ph/0501559	astro-ph/0504245
astro-ph/0501395	astro-ph/0504245
astro-ph/0501458	astro-ph/0504245
astro-ph/0408413	astro-ph/0504245
astro-ph/0410618	astro-ph/0504641
astro-ph/0504419	astro-ph/0504641
astro-ph/0407378	astro-ph/0504641
astro-ph/0410448	astro-ph/0504193
astro-ph/0501652	astro-ph/0504582
astro-ph/0411044	astro-ph/0504582
astro-ph/0410309	astro-ph/0504582
astro-ph/0411803	astro-ph/0504582
astro-ph/0008175	astro-ph/0504582
astro-ph/0110472	astro-ph/0504582
astro-ph/9906066	astro-ph/0504582
astro-ph/0004404	astro-ph/0504582
astro-ph/0407259	astro-ph/0504582
astro-ph/0503230	astro-ph/0504582
astro-ph/0409166	astro-ph/0504582
astro-ph/0312484	astro-ph/0504582
astro-ph/0307185	astro-ph/0504582
astro-ph/0404378	astro-ph/0504582
astro-ph/0311364	astro-ph/0504582
astro-ph/0405636	astro-ph/0504582
astro-ph/0210321	astro-ph/0504582
astro-ph/0310723	astro-ph/0504582
astro-ph/0408013	astro-ph/0504582
astro-ph/0407432	astro-ph/0504582
astro-ph/0212301	astro-ph/0504582
astro-ph/0205388	astro-ph/0504582
astro-ph/0311622	astro-ph/0504582
astro-ph/0006373	astro-ph/0504582
astro-ph/0302207	astro-ph/0504582
astro-ph/0402512	astro-ph/0504582
astro-ph/9904120	astro-ph/0504582
astro-ph/0407094	astro-ph/0504582
astro-ph/0502069	astro-ph/0504582
astro-ph/0409431	astro-ph/0504582
astro-ph/0407107	astro-ph/0504582
astro-ph/0311412	astro-ph/0504582
astro-ph/0412638	astro-ph/0504582
astro-ph/0410680	astro-ph/0504582
astro-ph/0406672	astro-ph/0504582
astro-ph/0409245	astro-ph/0504582
astro-ph/0202492	astro-ph/0504582
astro-ph/0303388	astro-ph/0504582
astro-ph/0312424	astro-ph/0504582
astro-ph/0502031	astro-ph/0504582
astro-ph/0402208	astro-ph/0504582
astro-ph/0404062	astro-ph/0504582
astro-ph/0311293	astro-ph/0504582
astro-ph/0205384	astro-ph/0504582
astro-ph/0012510	astro-ph/0504582
astro-ph/9905040	astro-ph/0504582
astro-ph/0401556	astro-ph/0504582
astro-ph/0404224	astro-ph/0504582
astro-ph/0305197	astro-ph/0504582
astro-ph/9810431	astro-ph/0504582
astro-ph/0405368	astro-ph/0504582
astro-ph/0407421	astro-ph/0504582
astro-ph/0410654	astro-ph/0504582
astro-ph/0310904	astro-ph/0504582
astro-ph/0207347	astro-ph/0504582
astro-ph/0302209	astro-ph/0504582
astro-ph/9906421	astro-ph/0504582
astro-ph/0312579	astro-ph/0504582
astro-ph/0302506	astro-ph/0504582
astro-ph/0210306	astro-ph/0504582
astro-ph/0403324	astro-ph/0504582
astro-ph/0412308	astro-ph/0504582
astro-ph/0301273	astro-ph/0504582
astro-ph/0403687	astro-ph/0504582
astro-ph/0312192	astro-ph/0504582
astro-ph/0211522	astro-ph/0504582
astro-ph/0406608	astro-ph/0504582
astro-ph/0501104	astro-ph/0504582
astro-ph/0005123	astro-ph/0504582
astro-ph/0409264	astro-ph/0504582
astro-ph/0504518	astro-ph/0504582
astro-ph/0504162	astro-ph/0504487
astro-ph/0412400	astro-ph/0504487
astro-ph/0302207	astro-ph/0504004
astro-ph/0503582	astro-ph/0504004
astro-ph/0503553	astro-ph/0504004
astro-ph/0402512	astro-ph/0504004
astro-ph/0410541	astro-ph/0504004
astro-ph/0502110	astro-ph/0504004
astro-ph/0302209	astro-ph/0504004
astro-ph/0203330	astro-ph/0504004
astro-ph/0301448	astro-ph/0504004
astro-ph/9802323	astro-ph/0504004
astro-ph/0112008	astro-ph/0504323
astro-ph/9905122	astro-ph/0504323
astro-ph/9808110	astro-ph/0504323
astro-ph/0311002	astro-ph/0504323
astro-ph/0408183	astro-ph/0504323
astro-ph/0312591	astro-ph/0504554
astro-ph/0302524	astro-ph/0504554
astro-ph/0006027	astro-ph/0504554
astro-ph/0310417	astro-ph/0504554
astro-ph/0204527	astro-ph/0504554
astro-ph/0302207	astro-ph/0504554
astro-ph/0305196	astro-ph/0504554
astro-ph/0302209	astro-ph/0504516
astro-ph/0302207	astro-ph/0504516
astro-ph/0408569	astro-ph/0504580
astro-ph/0410164	astro-ph/0504580
astro-ph/0412018	astro-ph/0504580
astro-ph/0503596	astro-ph/0504580
astro-ph/0408564	astro-ph/0504580
astro-ph/0206508	astro-ph/0504580
astro-ph/0412300	astro-ph/0504580
astro-ph/0503009	astro-ph/0504300
astro-ph/0510411	astro-ph/0504483
astro-ph/9806357	astro-ph/0504048
astro-ph/0502300	astro-ph/0504624
astro-ph/0504359	astro-ph/0504624
astro-ph/0504125	astro-ph/0504624
astro-ph/0503254	astro-ph/0504624
astro-ph/0502577	astro-ph/0504056
astro-ph/0504252	astro-ph/0504190
astro-ph/0504253	astro-ph/0504190
astro-ph/0010082	astro-ph/0504383
astro-ph/0302225	astro-ph/0504383
astro-ph/0205388	astro-ph/0504383
astro-ph/9603033	astro-ph/0504383
astro-ph/0109354	astro-ph/0504383
astro-ph/9911103	astro-ph/0504383
astro-ph/0501659	astro-ph/0504383
astro-ph/0212289	astro-ph/0504383
astro-ph/0102236	astro-ph/0504383
astro-ph/0202098	astro-ph/0504383
astro-ph/0303636	astro-ph/0504383
astro-ph/0310725	astro-ph/0504383
astro-ph/0302209	astro-ph/0504383
astro-ph/0408138	astro-ph/0504383
astro-ph/9711139	astro-ph/0504383
astro-ph/0304237	astro-ph/0504383
